name,type,file
DNA097385,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAm_deconvolution_pipeline/samples/References/healthy_donors_KSC/DNA097385_S10.cov.gz
DNA097389,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAm_deconvolution_pipeline/samples/References/healthy_donors_KSC/DNA097389_S14.cov.gz
DNA097393,healthy,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAm_deconvolution_pipeline/samples/References/healthy_donors_KSC/DNA097393_S18.cov.gz
DNA041087,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAm_deconvolution_pipeline/samples/References/NBL_allCellLines/DNA041087_S27.cov.gz
DNA044133,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAm_deconvolution_pipeline/samples/References/NBL_allCellLines/DNA044133_S31.cov.gz
DNA044134,nbl,/Users/edoardogiuili/Library/CloudStorage/OneDrive-UGent/Projects/Maisa_deconv_benchmark/DNAm_deconvolution_pipeline/samples/References/NBL_allCellLines/DNA044134_S32.cov.gz
